t	x	y	z
19.7000	0.8935	1.9027	0.0000
19.8000	0.7033	2.0930	0.0000
19.9000	0.4940	2.2643	0.0000
20.0000	0.2675	2.4147	0.0000
20.1000	0.0261	2.5425	0.0000
20.2000	-0.2282	2.6461	0.0000
20.3000	-0.4928	2.7243	0.0000
20.4000	-0.7652	2.7760	0.0000
20.5000	-1.0428	2.8005	0.0000
20.6000	-1.3229	2.7972	0.0000
20.7000	-1.6026	2.7659	0.0000
20.8000	-1.8792	2.7066	0.0000
20.9000	-2.1499	2.6197	0.0000
21.0000	-2.4118	2.5057	0.0000
21.1000	-2.6624	2.3656	0.0000
21.2000	-2.8990	2.2003	0.0000
21.3000	-3.1190	2.0114	0.0000
21.4000	-3.3201	1.8005	0.0000
21.5000	-3.5002	1.5695	0.0000
21.6000	-3.6571	1.3205	0.0000
21.7000	-3.7892	1.0558	0.0000
21.8000	-3.8948	0.7779	0.0000
21.9000	-3.9725	0.4894	0.0000
22.0000	-4.0215	0.1931	0.0000
22.1000	-4.0408	-0.1080	0.0000
22.2000	-4.0300	-0.4111	0.0000
22.3000	-3.9889	-0.7131	0.0000
22.4000	-3.9176	-1.0110	0.0000
22.5000	-3.8165	-1.3017	0.0000
22.6000	-3.6863	-1.5824	0.0000
22.7000	-3.5281	-1.8500	0.0000
22.8000	-3.3431	-2.1018	0.0000
22.9000	-3.1329	-2.3351	0.0000
23.0000	-2.8994	-2.5474	0.0000
23.1000	-2.6446	-2.7364	0.0000
23.2000	-2.3710	-2.8998	0.0000
23.3000	-2.0810	-3.0359	0.0000
23.4000	-1.7774	-3.1430	0.0000
23.5000	-1.4631	-3.2198	0.0000
23.6000	-1.1411	-3.2651	0.0000
23.7000	-0.8146	-3.2782	0.0000
23.8000	-0.4868	-3.2587	0.0000
23.9000	-0.1609	-3.2063	0.0000
24.0000	0.1597	-3.1214	0.0000
24.1000	0.4718	-3.0045	0.0000
24.2000	0.7723	-2.8563	0.0000
24.3000	1.0579	-2.6781	0.0000
24.4000	1.3257	-2.4713	0.0000
24.5000	1.5728	-2.2377	0.0000
24.6000	1.7966	-1.9794	0.0000
24.7000	1.9945	-1.6987	0.0000
24.8000	2.1644	-1.3983	0.0000
24.9000	2.3042	-1.0809	0.0000
25.0000	2.4123	-0.7494	0.0000
25.1000	2.4873	-0.4072	0.0000
25.2000	2.5280	-0.0575	0.0000
25.3000	2.5337	0.2963	0.0000
25.4000	2.5041	0.6507	0.0000
25.5000	2.4390	1.0021	0.0000
25.6000	2.3388	1.3470	0.0000
25.7000	2.2041	1.6819	0.0000
25.8000	2.0359	2.0033	0.0000
25.9000	1.8356	2.3079	0.0000
26.0000	1.6048	2.5925	0.0000
26.1000	1.3456	2.8540	0.0000
26.2000	1.0602	3.0895	0.0000
26.3000	0.7512	3.2965	0.0000
26.4000	0.4216	3.4726	0.0000
26.5000	0.0743	3.6158	0.0000
26.6000	-0.2873	3.7242	0.0000
26.7000	-0.6597	3.7965	0.0000
26.8000	-1.0394	3.8315	0.0000
26.9000	-1.4225	3.8286	0.0000
27.0000	-1.8054	3.7873	0.0000
27.1000	-2.1841	3.7078	0.0000
27.2000	-2.5549	3.5904	0.0000
27.3000	-2.9139	3.4359	0.0000
27.4000	-3.2575	3.2455	0.0000
27.5000	-3.5821	3.0208	0.0000
27.6000	-3.8841	2.7636	0.0000
27.7000	-4.1605	2.4761	0.0000
27.8000	-4.4081	2.1611	0.0000
27.9000	-4.6242	1.8213	0.0000
28.0000	-4.8064	1.4599	0.0000
28.1000	-4.9523	1.0802	0.0000
28.2000	-5.0604	0.6860	0.0000
28.3000	-5.1290	0.2810	0.0000
28.4000	-5.1571	-0.1309	0.0000
28.5000	-5.1440	-0.5456	0.0000
28.6000	-5.0894	-0.9590	0.0000
28.7000	-4.9935	-1.3670	0.0000
28.8000	-4.8568	-1.7653	0.0000
28.9000	-4.6803	-2.1500	0.0000
29.0000	-4.4653	-2.5170	0.0000
29.1000	-4.2136	-2.8626	0.0000
29.2000	-3.9273	-3.1829	0.0000
29.3000	-3.6090	-3.4746	0.0000
29.4000	-3.2615	-3.7346	0.0000
29.5000	-2.8881	-3.9597	0.0000
29.6000	-2.4921	-4.1475	0.0000
29.7000	-2.0774	-4.2957	0.0000
29.8000	-1.6478	-4.4025	0.0000
29.9000	-1.2076	-4.4662	0.0000
30.0000	-0.7609	-4.4860	0.0000
30.1000	-0.3123	-4.4611	0.0000
30.2000	0.1338	-4.3913	0.0000
30.3000	0.5729	-4.2769	0.0000
30.4000	1.0006	-4.1187	0.0000
30.5000	1.4125	-3.9176	0.0000
30.6000	1.8042	-3.6753	0.0000
30.7000	2.1718	-3.3939	0.0000
30.8000	2.5112	-3.0757	0.0000
30.9000	2.8187	-2.7236	0.0000
31.0000	3.0911	-2.3408	0.0000
31.1000	3.3252	-1.9306	0.0000
31.2000	3.5182	-1.4971	0.0000
31.3000	3.6680	-1.0443	0.0000
31.4000	3.7724	-0.5765	0.0000
31.5000	3.8300	-0.0983	0.0000
31.6000	3.8399	0.3857	0.0000
31.7000	3.8013	0.8707	0.0000
31.8000	3.7142	1.3518	0.0000
31.9000	3.5790	1.8243	0.0000
32.0000	3.3966	2.2832	0.0000
32.1000	3.1683	2.7238	0.0000
32.2000	2.8959	3.1417	0.0000
32.3000	2.5817	3.5323	0.0000
32.4000	2.2285	3.8914	0.0000
32.5000	1.8394	4.2153	0.0000
32.6000	1.4178	4.5002	0.0000
32.7000	0.9678	4.7430	0.0000
32.8000	0.4935	4.9408	0.0000
32.9000	-0.0006	5.0911	0.0000
33.0000	-0.5097	5.1921	0.0000
33.1000	-1.0289	5.2421	0.0000
33.2000	-1.5531	5.2402	0.0000
33.3000	-2.0771	5.1859	0.0000
33.4000	-2.5957	5.0792	0.0000
33.5000	-3.1036	4.9206	0.0000
33.6000	-3.5957	4.7113	0.0000
33.7000	-4.0668	4.4527	0.0000
33.8000	-4.5121	4.1470	0.0000
33.9000	-4.9268	3.7968	0.0000
34.0000	-5.3065	3.4051	0.0000
34.1000	-5.6470	2.9755	0.0000
34.2000	-5.9445	2.5118	0.0000
34.3000	-6.1957	2.0183	0.0000
34.4000	-6.3975	1.4998	0.0000
34.5000	-6.5475	0.9610	0.0000
34.6000	-6.6436	0.4073	0.0000
34.7000	-6.6843	-0.1561	0.0000
34.8000	-6.6687	-0.7235	0.0000
34.9000	-6.5964	-1.2894	0.0000
35.0000	-6.4674	-1.8480	0.0000
35.1000	-6.2826	-2.3938	0.0000
35.2000	-6.0433	-2.9211	0.0000
35.3000	-5.7511	-3.4244	0.0000
35.4000	-5.4087	-3.8985	0.0000
35.5000	-5.0189	-4.3384	0.0000
35.6000	-4.5850	-4.7393	0.0000
35.7000	-4.1111	-5.0968	0.0000
35.8000	-3.6014	-5.4069	0.0000
35.9000	-3.0607	-5.6660	0.0000
36.0000	-2.4941	-5.8711	0.0000
36.1000	-1.9070	-6.0195	0.0000
36.2000	-1.3051	-6.1092	0.0000
36.3000	-0.6942	-6.1387	0.0000
36.4000	-0.0803	-6.1071	0.0000
36.5000	0.5304	-6.0141	0.0000
36.6000	1.1318	-5.8601	0.0000
36.7000	1.7178	-5.6459	0.0000
36.8000	2.2824	-5.3731	0.0000
36.9000	2.8198	-5.0439	0.0000
37.0000	3.3241	-4.6609	0.0000
37.1000	3.7902	-4.2275	0.0000
37.2000	4.2130	-3.7475	0.0000
37.3000	4.5877	-3.2252	0.0000
37.4000	4.9103	-2.6654	0.0000
37.5000	5.1768	-2.0734	0.0000
37.6000	5.3841	-1.4547	0.0000
37.7000	5.5296	-0.8153	0.0000
37.8000	5.6111	-0.1613	0.0000
37.9000	5.6273	0.5008	0.0000
38.0000	5.5772	1.1645	0.0000
38.1000	5.4607	1.8232	0.0000
38.2000	5.2784	2.4703	0.0000
38.3000	5.0314	3.0991	0.0000
38.4000	4.7215	3.7033	0.0000
38.5000	4.3511	4.2764	0.0000
38.6000	3.9235	4.8125	0.0000
38.7000	3.4422	5.3059	0.0000
38.8000	2.9117	5.7511	0.0000
38.9000	2.3365	6.1433	0.0000
39.0000	1.7222	6.4779	0.0000
39.1000	1.0744	6.7512	0.0000
39.2000	0.3993	6.9596	0.0000
39.3000	-0.2967	7.1005	0.0000
39.4000	-1.0067	7.1719	0.0000
39.5000	-1.7239	7.1722	0.0000
39.6000	-2.4411	7.1008	0.0000
39.7000	-3.1512	6.9577	0.0000
39.8000	-3.8470	6.7436	0.0000
39.9000	-4.5213	6.4599	0.0000
40.0000	-5.1673	6.1087	0.0000
40.1000	-5.7782	5.6930	0.0000
40.2000	-6.3475	5.2162	0.0000
40.3000	-6.8691	4.6824	0.0000
40.4000	-7.3373	4.0965	0.0000
40.5000	-7.7470	3.4638	0.0000
40.6000	-8.0934	2.7901	0.0000
40.7000	-8.3724	2.0818	0.0000
40.8000	-8.5806	1.3455	0.0000
40.9000	-8.7151	0.5885	0.0000
41.0000	-8.7740	-0.1820	0.0000
41.1000	-8.7558	-0.9584	0.0000
41.2000	-8.6599	-1.7330	0.0000
41.3000	-8.4866	-2.4980	0.0000
41.4000	-8.2368	-3.2457	0.0000
41.5000	-7.9122	-3.9684	0.0000
41.6000	-7.5154	-4.6586	0.0000
41.7000	-7.0496	-5.3091	0.0000
41.8000	-6.5186	-5.9131	0.0000
41.9000	-5.9273	-6.4639	0.0000
42.0000	-5.2809	-6.9557	0.0000
42.1000	-4.5854	-7.3828	0.0000
42.2000	-3.8471	-7.7403	0.0000
42.3000	-3.0731	-8.0240	0.0000
42.4000	-2.2707	-8.2303	0.0000
42.5000	-1.4476	-8.3564	0.0000
42.6000	-0.6120	-8.4002	0.0000
42.7000	0.2280	-8.3603	0.0000
42.8000	1.0641	-8.2365	0.0000
42.9000	1.8877	-8.0291	0.0000
43.0000	2.6906	-7.7394	0.0000
43.1000	3.4646	-7.3693	0.0000
43.2000	4.2015	-6.9219	0.0000
43.3000	4.8937	-6.4007	0.0000
43.4000	5.5337	-5.8103	0.0000
43.5000	6.1148	-5.1560	0.0000
43.6000	6.6304	-4.4435	0.0000
43.7000	7.0747	-3.6794	0.0000
43.8000	7.4427	-2.8710	0.0000
43.9000	7.7298	-2.0257	0.0000
44.0000	7.9323	-1.1517	0.0000
44.1000	8.0475	-0.2575	0.0000
44.2000	8.0733	0.6483	0.0000
44.3000	8.0084	1.5566	0.0000
44.4000	7.8528	2.4584	0.0000
44.5000	7.6069	3.3447	0.0000
44.6000	7.2725	4.2064	0.0000
44.7000	6.8518	5.0346	0.0000
44.8000	6.3484	5.8208	0.0000
44.9000	5.7663	6.5567	0.0000
45.0000	5.1106	7.2343	0.0000
45.1000	4.3872	7.8463	0.0000
45.2000	3.6025	8.3861	0.0000
45.3000	2.7639	8.8473	0.0000
45.4000	1.8792	9.2247	0.0000
45.5000	0.9567	9.5136	0.0000
45.6000	0.0054	9.7103	0.0000
45.7000	-0.9657	9.8118	0.0000
45.8000	-1.9468	9.8163	0.0000
45.9000	-2.9285	9.7226	0.0000
46.0000	-3.9007	9.5308	0.0000
46.1000	-4.8538	9.2417	0.0000
46.2000	-5.7780	8.8573	0.0000
46.3000	-6.6637	8.3805	0.0000
46.4000	-7.5018	7.8151	0.0000
46.5000	-8.2833	7.1660	0.0000
46.6000	-8.9999	6.4386	0.0000
46.7000	-9.6437	5.6396	0.0000
46.8000	-10.2077	4.7763	0.0000
46.9000	-10.6853	3.8565	0.0000
47.0000	-11.0710	2.8890	0.0000
47.1000	-11.3599	1.8829	0.0000
47.2000	-11.5482	0.8479	0.0000
47.3000	-11.6329	-0.2059	0.0000
47.4000	-11.6123	-1.2682	0.0000
47.5000	-11.4855	-2.3285	0.0000
47.6000	-11.2527	-3.3760	0.0000
47.7000	-10.9151	-4.4003	0.0000
47.8000	-10.4750	-5.3908	0.0000
47.9000	-9.9360	-6.3373	0.0000
48.0000	-9.3022	-7.2299	0.0000
48.1000	-8.5793	-8.0591	0.0000
48.2000	-7.7733	-8.8160	0.0000
48.3000	-6.8917	-9.4924	0.0000
48.4000	-5.9425	-10.0805	0.0000
48.5000	-4.9344	-10.5738	0.0000
48.6000	-3.8771	-10.9662	0.0000
48.7000	-2.7804	-11.2529	0.0000
48.8000	-1.6551	-11.4300	0.0000
48.9000	-0.5122	-11.4945	0.0000
