t	x	y	z
26.5000	-0.7315	1.0184	0.0000
26.6000	-0.8294	1.0408	0.0000
26.7000	-0.9291	1.0534	0.0000
26.8000	-1.0296	1.0559	0.0000
26.9000	-1.1298	1.0485	0.0000
27.0000	-1.2288	1.0310	0.0000
27.1000	-1.3255	1.0038	0.0000
27.2000	-1.4191	0.9671	0.0000
27.3000	-1.5085	0.9212	0.0000
27.4000	-1.5929	0.8666	0.0000
27.5000	-1.6714	0.8039	0.0000
27.6000	-1.7433	0.7337	0.0000
27.7000	-1.8078	0.6566	0.0000
27.8000	-1.8643	0.5735	0.0000
27.9000	-1.9123	0.4852	0.0000
28.0000	-1.9512	0.3925	0.0000
28.1000	-1.9806	0.2964	0.0000
28.2000	-2.0003	0.1979	0.0000
28.3000	-2.0101	0.0979	0.0000
28.4000	-2.0099	-0.0026	0.0000
28.5000	-1.9996	-0.1026	0.0000
28.6000	-1.9794	-0.2011	0.0000
28.7000	-1.9495	-0.2970	0.0000
28.8000	-1.9102	-0.3895	0.0000
28.9000	-1.8618	-0.4776	0.0000
29.0000	-1.8049	-0.5604	0.0000
29.1000	-1.7401	-0.6372	0.0000
29.2000	-1.6678	-0.7071	0.0000
29.3000	-1.5890	-0.7694	0.0000
29.4000	-1.5044	-0.8236	0.0000
29.5000	-1.4147	-0.8690	0.0000
29.6000	-1.3210	-0.9053	0.0000
29.7000	-1.2242	-0.9321	0.0000
29.8000	-1.1251	-0.9491	0.0000
29.9000	-1.0248	-0.9560	0.0000
30.0000	-0.9244	-0.9530	0.0000
30.1000	-0.8247	-0.9400	0.0000
30.2000	-0.7269	-0.9170	0.0000
30.3000	-0.6318	-0.8845	0.0000
30.4000	-0.5405	-0.8426	0.0000
30.5000	-0.4537	-0.7918	0.0000
30.6000	-0.3725	-0.7326	0.0000
30.7000	-0.2976	-0.6656	0.0000
30.8000	-0.2297	-0.5915	0.0000
30.9000	-0.1696	-0.5110	0.0000
31.0000	-0.1178	-0.4248	0.0000
31.1000	-0.0749	-0.3340	0.0000
31.2000	-0.0412	-0.2393	0.0000
31.3000	-0.0172	-0.1417	0.0000
31.4000	-0.0030	-0.0422	0.0000
31.5000	0.0012	0.0582	0.0000
31.6000	-0.0046	0.1585	0.0000
31.7000	-0.0204	0.2578	0.0000
31.8000	-0.0461	0.3550	0.0000
31.9000	-0.0813	0.4491	0.0000
32.0000	-0.1257	0.5392	0.0000
32.1000	-0.1789	0.6245	0.0000
32.2000	-0.2403	0.7040	0.0000
32.3000	-0.3094	0.7771	0.0000
32.4000	-0.3854	0.8428	0.0000
32.5000	-0.4675	0.9007	0.0000
32.6000	-0.5551	0.9501	0.0000
32.7000	-0.6471	0.9904	0.0000
32.8000	-0.7427	1.0215	0.0000
32.9000	-0.8409	1.0428	0.0000
33.0000	-0.9408	1.0542	0.0000
33.1000	-1.0412	1.0556	0.0000
33.2000	-1.1414	1.0470	0.0000
33.3000	-1.2401	1.0284	0.0000
33.4000	-1.3366	1.0000	0.0000
33.5000	-1.4297	0.9622	0.0000
33.6000	-1.5186	0.9153	0.0000
33.7000	-1.6023	0.8598	0.0000
33.8000	-1.6801	0.7962	0.0000
33.9000	-1.7512	0.7251	0.0000
34.0000	-1.8148	0.6473	0.0000
34.1000	-1.8703	0.5635	0.0000
34.2000	-1.9172	0.4747	0.0000
34.3000	-1.9551	0.3816	0.0000
34.4000	-1.9834	0.2851	0.0000
34.5000	-2.0020	0.1864	0.0000
34.6000	-2.0106	0.0862	0.0000
34.7000	-2.0092	-0.0143	0.0000
34.8000	-1.9978	-0.1141	0.0000
34.9000	-1.9765	-0.2123	0.0000
35.0000	-1.9454	-0.3079	0.0000
35.1000	-1.9050	-0.3999	0.0000
35.2000	-1.8557	-0.4875	0.0000
35.3000	-1.7978	-0.5696	0.0000
35.4000	-1.7321	-0.6456	0.0000
35.5000	-1.6590	-0.7147	0.0000
35.6000	-1.5795	-0.7761	0.0000
35.7000	-1.4942	-0.8293	0.0000
35.8000	-1.4041	-0.8737	0.0000
35.9000	-1.3099	-0.9089	0.0000
36.0000	-1.2128	-0.9346	0.0000
36.1000	-1.1135	-0.9504	0.0000
36.2000	-1.0132	-0.9562	0.0000
36.3000	-0.9128	-0.9520	0.0000
36.4000	-0.8133	-0.9378	0.0000
36.5000	-0.7157	-0.9138	0.0000
36.6000	-0.6210	-0.8801	0.0000
36.7000	-0.5302	-0.8372	0.0000
36.8000	-0.4440	-0.7854	0.0000
36.9000	-0.3635	-0.7252	0.0000
37.0000	-0.2894	-0.6574	0.0000
37.1000	-0.2224	-0.5825	0.0000
37.2000	-0.1632	-0.5013	0.0000
37.3000	-0.1124	-0.4145	0.0000
37.4000	-0.0705	-0.3232	0.0000
37.5000	-0.0380	-0.2281	0.0000
37.6000	-0.0150	-0.1303	0.0000
37.7000	-0.0020	-0.0306	0.0000
37.8000	0.0010	0.0698	0.0000
37.9000	-0.0060	0.1701	0.0000
38.0000	-0.0229	0.2692	0.0000
38.1000	-0.0497	0.3660	0.0000
38.2000	-0.0860	0.4597	0.0000
38.3000	-0.1314	0.5494	0.0000
38.4000	-0.1856	0.6340	0.0000
38.5000	-0.2479	0.7129	0.0000
38.6000	-0.3178	0.7851	0.0000
38.7000	-0.3946	0.8499	0.0000
38.8000	-0.4774	0.9068	0.0000
38.9000	-0.5655	0.9552	0.0000
39.0000	-0.6580	0.9945	0.0000
39.1000	-0.7540	1.0244	0.0000
39.2000	-0.8524	1.0446	0.0000
39.3000	-0.9524	1.0549	0.0000
39.4000	-1.0529	1.0551	0.0000
39.5000	-1.1529	1.0453	0.0000
39.6000	-1.2514	1.0256	0.0000
39.7000	-1.3475	0.9961	0.0000
39.8000	-1.4402	0.9573	0.0000
39.9000	-1.5285	0.9093	0.0000
40.0000	-1.6116	0.8528	0.0000
40.1000	-1.6887	0.7883	0.0000
40.2000	-1.7589	0.7164	0.0000
40.3000	-1.8216	0.6379	0.0000
40.4000	-1.8762	0.5535	0.0000
40.5000	-1.9221	0.4641	0.0000
40.6000	-1.9588	0.3705	0.0000
40.7000	-1.9860	0.2738	0.0000
40.8000	-2.0035	0.1748	0.0000
40.9000	-2.0109	0.0746	0.0000
41.0000	-2.0084	-0.0259	0.0000
41.1000	-1.9958	-0.1256	0.0000
41.2000	-1.9734	-0.2235	0.0000
41.3000	-1.9412	-0.3188	0.0000
41.4000	-1.8998	-0.4103	0.0000
41.5000	-1.8494	-0.4973	0.0000
41.6000	-1.7906	-0.5788	0.0000
41.7000	-1.7240	-0.6540	0.0000
41.8000	-1.6501	-0.7222	0.0000
41.9000	-1.5699	-0.7827	0.0000
42.0000	-1.4840	-0.8349	0.0000
42.1000	-1.3934	-0.8783	0.0000
42.2000	-1.2988	-0.9124	0.0000
42.3000	-1.2014	-0.9369	0.0000
42.4000	-1.1019	-0.9516	0.0000
42.5000	-1.0016	-0.9562	0.0000
42.6000	-0.9012	-0.9509	0.0000
42.7000	-0.8019	-0.9355	0.0000
42.8000	-0.7046	-0.9104	0.0000
42.9000	-0.6103	-0.8756	0.0000
43.0000	-0.5199	-0.8316	0.0000
43.1000	-0.4344	-0.7788	0.0000
43.2000	-0.3546	-0.7178	0.0000
43.3000	-0.2812	-0.6491	0.0000
43.4000	-0.2151	-0.5734	0.0000
43.5000	-0.1569	-0.4915	0.0000
43.6000	-0.1071	-0.4042	0.0000
43.7000	-0.0663	-0.3123	0.0000
43.8000	-0.0348	-0.2169	0.0000
43.9000	-0.0130	-0.1188	0.0000
44.0000	-0.0011	-0.0190	0.0000
44.1000	0.0008	0.0815	0.0000
44.2000	-0.0074	0.1817	0.0000
44.3000	-0.0255	0.2805	0.0000
44.4000	-0.0534	0.3771	0.0000
44.5000	-0.0908	0.4704	0.0000
44.6000	-0.1373	0.5595	0.0000
44.7000	-0.1924	0.6435	0.0000
44.8000	-0.2557	0.7216	0.0000
44.9000	-0.3264	0.7930	0.0000
45.0000	-0.4039	0.8570	0.0000
45.1000	-0.4874	0.9129	0.0000
